Compiling 501 files (.ex)
[profile] lib/foo_3450.ex compiled in 5775ms
[profile] lib/foo_620.ex compiled in 657ms
Compiling lib/foo_4810.ex (it's taking more than 10s)
[profile] lib/foo_4810.ex compiled in 12444ms
Compiling lib/foo_4930.ex (it's taking more than 10s)
[profile] lib/foo_4930.ex compiled in 12648ms
[profile] lib/foo_2130.ex compiled in 4034ms
[profile] lib/foo_1620.ex compiled in 2639ms
[profile] lib/foo_290.ex compiled in 282ms
[profile] lib/foo_130.ex compiled in 689ms
Compiling lib/foo_4500.ex (it's taking more than 10s)
[profile] lib/foo_4500.ex compiled in 13311ms
[profile] lib/foo_2320.ex compiled in 5048ms
[profile] lib/foo_2750.ex compiled in 5948ms
[profile] lib/foo_490.ex compiled in 654ms
[profile] lib/foo_4880.ex compiled in 9959ms
[profile] lib/foo_260.ex compiled in 257ms
[profile] lib/foo_90.ex compiled in 608ms
[profile] lib/foo_460.ex compiled in 511ms
[profile] lib/foo_2740.ex compiled in 6260ms
[profile] lib/foo_1230.ex compiled in 1436ms
[profile] lib/foo_4110.ex compiled in 9057ms
[profile] lib/foo_150.ex compiled in 148ms
[profile] lib/foo_3440.ex compiled in 8224ms
[profile] lib/foo_1820.ex compiled in 1513ms
[profile] lib/foo_4020.ex compiled in 8019ms
[profile] lib/foo_4490.ex compiled in 7144ms
[profile] lib/foo_4660.ex compiled in 8940ms
[profile] lib/foo_1150.ex compiled in 875ms
[profile] lib/foo_210.ex compiled in 174ms
[profile] lib/foo_4760.ex compiled in 7455ms
[profile] lib/foo_2630.ex compiled in 2371ms
[profile] lib/foo_1570.ex compiled in 1312ms
[profile] lib/foo_4190.ex compiled in 4976ms
[profile] lib/foo_860.ex compiled in 597ms
[profile] lib/foo_2540.ex compiled in 2513ms
[profile] lib/foo_1690.ex compiled in 1598ms
[profile] lib/foo_1710.ex compiled in 1696ms
[profile] lib/foo_950.ex compiled in 619ms
[profile] lib/foo_2780.ex compiled in 3055ms
[profile] lib/foo_4560.ex compiled in 5355ms
[profile] lib/foo_2470.ex compiled in 2557ms
[profile] lib/foo_1050.ex compiled in 835ms
[profile] lib/foo_3270.ex compiled in 4329ms
[profile] lib/foo_840.ex compiled in 622ms
[profile] lib/foo_170.ex compiled in 148ms
[profile] lib/foo_470.ex compiled in 318ms
[profile] lib/foo_1780.ex compiled in 1662ms
[profile] lib/foo_380.ex compiled in 397ms
[profile] lib/foo_2290.ex compiled in 2643ms
[profile] lib/foo_450.ex compiled in 789ms
[profile] lib/foo_2690.ex compiled in 2668ms
[profile] lib/foo_4180.ex compiled in 4280ms
[profile] lib/foo_1790.ex compiled in 1656ms
[profile] lib/foo_640.ex compiled in 492ms
[profile] lib/foo_1980.ex compiled in 2056ms
[profile] lib/foo_3680.ex compiled in 4299ms
[profile] lib/foo_4850.ex compiled in 7032ms
[profile] lib/foo_530.ex compiled in 410ms
[profile] lib/foo_3200.ex compiled in 3736ms
[profile] lib/foo_200.ex compiled in 151ms
[profile] lib/foo_3460.ex compiled in 4550ms
[profile] lib/foo_3970.ex compiled in 5456ms
[profile] lib/foo_4360.ex compiled in 6504ms
[profile] lib/foo_3210.ex compiled in 4921ms
[profile] lib/foo_4580.ex compiled in 5827ms
[profile] lib/foo_2480.ex compiled in 2501ms
[profile] lib/foo_4420.ex compiled in 5223ms
[profile] lib/foo_1910.ex compiled in 2148ms
[profile] lib/foo_350.ex compiled in 533ms
[profile] lib/foo_3010.ex compiled in 4033ms
[profile] lib/foo_4480.ex compiled in 7042ms
[profile] lib/foo_3910.ex compiled in 6557ms
[profile] lib/foo_2350.ex compiled in 4329ms
[profile] lib/foo_850.ex compiled in 1487ms
[profile] lib/foo_3860.ex compiled in 7889ms
[profile] lib/foo_2450.ex compiled in 5527ms
[profile] lib/foo_3180.ex compiled in 6971ms
[profile] lib/foo_390.ex compiled in 204ms
[profile] lib/foo_940.ex compiled in 600ms
[profile] lib/foo_4010.ex compiled in 6657ms
[profile] lib/foo_2700.ex compiled in 3268ms
[profile] lib/foo_1550.ex compiled in 1156ms
[profile] lib/foo_4040.ex compiled in 7479ms
[profile] lib/foo_4960.ex compiled in 9091ms
[profile] lib/foo_2240.ex compiled in 1964ms
[profile] lib/foo_4600.ex compiled in 6698ms
[profile] lib/foo_3070.ex compiled in 2797ms
[profile] lib/foo_2200.ex compiled in 2220ms
[profile] lib/foo_800.ex compiled in 714ms
[profile] lib/foo_1090.ex compiled in 618ms
[profile] lib/foo_1890.ex compiled in 1190ms
[profile] lib/foo_3850.ex compiled in 4176ms
[profile] lib/foo_20.ex compiled in 536ms
[profile] lib/foo_3370.ex compiled in 3050ms
[profile] lib/foo_1310.ex compiled in 917ms
[profile] lib/foo_240.ex compiled in 279ms
[profile] lib/foo_2600.ex compiled in 1812ms
[profile] lib/foo_1170.ex compiled in 794ms
[profile] lib/foo_1160.ex compiled in 776ms
[profile] lib/foo_550.ex compiled in 681ms
[profile] lib/foo_610.ex compiled in 609ms
[profile] lib/foo_1990.ex compiled in 1525ms
[profile] lib/foo_100.ex compiled in 248ms
[profile] lib/foo_1730.ex compiled in 1631ms
[profile] lib/foo_2970.ex compiled in 2806ms
[profile] lib/foo_3510.ex compiled in 3341ms
[profile] lib/foo_50.ex compiled in 286ms
[profile] lib/foo_660.ex compiled in 318ms
[profile] lib/foo_1360.ex compiled in 1024ms
[profile] lib/foo_410.ex compiled in 172ms
[profile] lib/foo_4140.ex compiled in 4548ms
[profile] lib/foo_2650.ex compiled in 2264ms
[profile] lib/foo_2510.ex compiled in 2586ms
[profile] lib/foo_910.ex compiled in 417ms
[profile] lib/foo_2070.ex compiled in 1595ms
[profile] lib/foo_2170.ex compiled in 1680ms
[profile] lib/foo_4650.ex compiled in 6543ms
[profile] lib/foo_3840.ex compiled in 3410ms
[profile] lib/foo_4520.ex compiled in 4873ms
[profile] lib/foo_2140.ex compiled in 1481ms
[profile] lib/foo_4290.ex compiled in 4938ms
[profile] lib/foo_1470.ex compiled in 1036ms
[profile] lib/foo_2270.ex compiled in 1916ms
[profile] lib/foo_4370.ex compiled in 4693ms
[profile] lib/foo_630.ex compiled in 462ms
[profile] lib/foo_1950.ex compiled in 1439ms
[profile] lib/foo_340.ex compiled in 162ms
[profile] lib/foo_1140.ex compiled in 708ms
[profile] lib/foo_2900.ex compiled in 3014ms
[profile] lib/foo_70.ex compiled in 369ms
[profile] lib/foo_2410.ex compiled in 2021ms
[profile] lib/foo_2040.ex compiled in 1495ms
[profile] lib/foo_1660.ex compiled in 906ms
[profile] lib/foo_900.ex compiled in 598ms
[profile] lib/foo_3670.ex compiled in 4052ms
[profile] lib/foo_1480.ex compiled in 1256ms
[profile] lib/foo_4390.ex compiled in 4523ms
[profile] lib/foo_3030.ex compiled in 2785ms
[profile] lib/foo_3130.ex compiled in 3196ms
[profile] lib/foo_2880.ex compiled in 2610ms
[profile] lib/foo_330.ex compiled in 157ms
[profile] lib/foo_3630.ex compiled in 4026ms
[profile] lib/foo_2120.ex compiled in 1685ms
[profile] lib/foo_440.ex compiled in 286ms
[profile] lib/foo_3420.ex compiled in 3901ms
[profile] lib/foo_3050.ex compiled in 2565ms
[profile] lib/foo_2090.ex compiled in 1378ms
[profile] lib/foo_3660.ex compiled in 3452ms
[profile] lib/foo_1350.ex compiled in 996ms
[profile] lib/foo_1450.ex compiled in 1689ms
[profile] lib/foo_2110.ex compiled in 2120ms
[profile] lib/foo_2440.ex compiled in 2543ms
[profile] lib/foo_2620.ex compiled in 2564ms
[profile] lib/foo_3620.ex compiled in 3193ms
[profile] lib/foo_4470.ex compiled in 5102ms
[profile] lib/foo_3350.ex compiled in 3528ms
[profile] lib/foo_1590.ex compiled in 1125ms
[profile] lib/foo_980.ex compiled in 792ms
[profile] lib/foo_280.ex compiled in 324ms
[profile] lib/foo_0.ex compiled in 188ms
[profile] lib/foo_4670.ex compiled in 6159ms
[profile] lib/foo_3490.ex compiled in 3426ms
[profile] lib/foo_4170.ex compiled in 3879ms
[profile] lib/foo_2580.ex compiled in 2418ms
[profile] lib/foo_5000.ex compiled in 5961ms
[profile] lib/foo_650.ex compiled in 512ms
[profile] lib/foo_4100.ex compiled in 5202ms
[profile] lib/foo_1540.ex compiled in 2148ms
[profile] lib/foo_3430.ex compiled in 5457ms
[profile] lib/foo_4340.ex compiled in 6992ms
[profile] lib/foo_3610.ex compiled in 6449ms
[profile] lib/foo_1290.ex compiled in 1768ms
[profile] lib/foo_80.ex compiled in 337ms
[profile] lib/foo_3960.ex compiled in 7549ms
[profile] lib/foo_760.ex compiled in 1105ms
[profile] lib/foo_4680.ex compiled in 7794ms
[profile] lib/foo_1400.ex compiled in 1567ms
[profile] lib/foo_190.ex compiled in 216ms
[profile] lib/foo_2830.ex compiled in 3105ms
[profile] lib/foo_1130.ex compiled in 773ms
[profile] lib/foo_2400.ex compiled in 2259ms
[profile] lib/foo_4790.ex compiled in 8287ms
[profile] lib/foo_930.ex compiled in 582ms
[profile] lib/foo_1500.ex compiled in 1150ms
[profile] lib/foo_4620.ex compiled in 6391ms
[profile] lib/foo_3790.ex compiled in 4139ms
[profile] lib/foo_2590.ex compiled in 2398ms
[profile] lib/foo_540.ex compiled in 245ms
[profile] lib/foo_3090.ex compiled in 2888ms
[profile] lib/foo_2060.ex compiled in 1947ms
[profile] lib/foo_2230.ex compiled in 2095ms
[profile] lib/foo_780.ex compiled in 401ms
[profile] lib/foo_3040.ex compiled in 3695ms
[profile] lib/foo_160.ex compiled in 233ms
[profile] lib/foo_1720.ex compiled in 1636ms
[profile] lib/foo_1250.ex compiled in 922ms
[profile] lib/foo_4980.ex compiled in 6006ms
[profile] lib/foo_1920.ex compiled in 1767ms
